epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
129,625.663,1.12514,0.78016,1.30303,0.95143,0.89577,0.94048,0.60793,1.22803,0.67281,1.52225,0.007888,0.007888,0.007888
130,630.454,1.15924,0.78694,1.32179,0.9702,0.90836,0.94113,0.60569,1.23973,0.68011,1.48907,0.0078715,0.0078715,0.0078715
131,635.281,1.14212,0.79031,1.3166,0.96063,0.89499,0.93924,0.60825,1.25055,0.64424,1.50507,0.007855,0.007855,0.007855
132,640.102,1.1111,0.76919,1.30885,0.95985,0.89519,0.93964,0.59053,1.26147,0.65794,1.54116,0.0078385,0.0078385,0.0078385
133,644.915,1.12647,0.76312,1.29965,0.95785,0.90551,0.94355,0.62368,1.22212,0.63924,1.49131,0.007822,0.007822,0.007822
134,649.702,1.1075,0.7574,1.29134,0.9329,0.884,0.94396,0.62726,1.20689,0.66389,1.48387,0.0078055,0.0078055,0.0078055
135,654.523,1.15659,0.7963,1.31052,0.93783,0.84935,0.93167,0.60619,1.21888,0.65077,1.49695,0.007789,0.007789,0.007789
136,659.328,1.12717,0.77457,1.32066,0.941,0.86948,0.93576,0.60702,1.21505,0.66893,1.47109,0.0077725,0.0077725,0.0077725
137,664.173,1.08073,0.73034,1.26512,0.94127,0.91273,0.95178,0.6249,1.18632,0.63116,1.48411,0.007756,0.007756,0.007756
138,668.964,1.10417,0.7589,1.28994,0.99387,0.89177,0.95162,0.62743,1.22166,0.66144,1.51554,0.0077395,0.0077395,0.0077395
139,673.83,1.10213,0.74854,1.27287,0.96036,0.88833,0.95049,0.6188,1.24436,0.69467,1.51922,0.007723,0.007723,0.007723
140,678.625,1.11891,0.76943,1.29944,0.93179,0.89982,0.94437,0.60897,1.25851,0.67478,1.52667,0.0077065,0.0077065,0.0077065
141,683.423,1.08386,0.73231,1.2728,0.9582,0.89822,0.95216,0.61204,1.28409,0.6742,1.54112,0.00769,0.00769,0.00769
142,688.244,1.0903,0.73759,1.24842,0.96291,0.91384,0.94705,0.61533,1.26274,0.66176,1.52697,0.0076735,0.0076735,0.0076735
143,693.09,1.08935,0.74856,1.27832,0.95222,0.88241,0.94119,0.62769,1.21558,0.6509,1.49672,0.007657,0.007657,0.007657
144,697.931,1.08987,0.75286,1.27655,0.93376,0.90283,0.94632,0.63859,1.17259,0.6332,1.44428,0.0076405,0.0076405,0.0076405
145,702.762,1.11098,0.7835,1.29097,0.96019,0.90475,0.96059,0.62936,1.19198,0.63921,1.465,0.007624,0.007624,0.007624
146,707.55,1.10451,0.74764,1.2772,0.97879,0.87205,0.94184,0.62117,1.21358,0.62809,1.49292,0.0076075,0.0076075,0.0076075
147,712.346,1.075,0.72998,1.27033,0.94384,0.90195,0.94579,0.61966,1.21791,0.65224,1.49229,0.007591,0.007591,0.007591
148,717.12,1.12164,0.76317,1.30396,0.97367,0.88608,0.95386,0.61994,1.17763,0.63914,1.46701,0.0075745,0.0075745,0.0075745
149,721.926,1.08812,0.72098,1.2658,0.98901,0.88745,0.95083,0.63222,1.19219,0.63552,1.48478,0.007558,0.007558,0.007558
150,726.733,1.06679,0.74282,1.25458,0.93675,0.90193,0.94974,0.62631,1.20309,0.66647,1.50579,0.0075415,0.0075415,0.0075415
151,731.565,1.0881,0.76649,1.26829,0.97686,0.89322,0.94424,0.63054,1.20892,0.65212,1.4972,0.007525,0.007525,0.007525
152,736.358,1.06868,0.72393,1.2773,0.94577,0.91001,0.95546,0.62676,1.20119,0.64471,1.48124,0.0075085,0.0075085,0.0075085
153,741.225,1.05893,0.72062,1.25637,0.94822,0.89416,0.95115,0.63221,1.16228,0.6475,1.45714,0.007492,0.007492,0.007492
154,746.049,1.0653,0.748,1.27009,0.93934,0.89247,0.94934,0.62318,1.19061,0.62776,1.47554,0.0074755,0.0074755,0.0074755
155,750.847,1.09066,0.75149,1.30118,0.99394,0.91259,0.94855,0.62511,1.21919,0.6361,1.4918,0.007459,0.007459,0.007459
156,755.657,1.0629,0.70694,1.24711,0.96339,0.89358,0.94961,0.63927,1.15768,0.64551,1.45492,0.0074425,0.0074425,0.0074425
157,760.5,1.06489,0.74373,1.25787,0.96682,0.90405,0.95708,0.63978,1.18319,0.65058,1.45792,0.007426,0.007426,0.007426
158,765.302,1.05635,0.73949,1.27038,0.95347,0.90875,0.95972,0.63967,1.18443,0.65136,1.46628,0.0074095,0.0074095,0.0074095
159,770.138,1.08578,0.73445,1.2844,0.98001,0.91273,0.95315,0.6285,1.22448,0.64187,1.50893,0.007393,0.007393,0.007393
160,774.949,1.07242,0.72561,1.27327,0.97955,0.89534,0.94791,0.61476,1.24176,0.66246,1.52948,0.0073765,0.0073765,0.0073765
161,779.765,1.05677,0.71077,1.24232,0.96277,0.92316,0.95397,0.63426,1.18025,0.62296,1.45281,0.00736,0.00736,0.00736
162,784.557,1.04746,0.69973,1.24136,0.96627,0.91985,0.95827,0.62988,1.19886,0.62001,1.46886,0.0073435,0.0073435,0.0073435
163,789.378,1.04406,0.71982,1.25386,0.98971,0.89822,0.94823,0.61387,1.19517,0.63482,1.47863,0.007327,0.007327,0.007327
164,794.183,1.02687,0.69361,1.2414,0.98159,0.88078,0.94773,0.60744,1.20664,0.6213,1.47385,0.0073105,0.0073105,0.0073105
165,799.015,1.03066,0.69199,1.22983,0.95094,0.90246,0.94932,0.63052,1.18082,0.63516,1.4642,0.007294,0.007294,0.007294
166,803.841,1.01988,0.68773,1.22125,0.94222,0.8984,0.94829,0.61449,1.205,0.65725,1.49069,0.0072775,0.0072775,0.0072775
